ID,Age,Gender,Marital Status,Education Field,Education Level,Miles from Home to Work,Department Name,Job Role Name,Job Level,Business Travel Frequency,Yearly Income,Absences per Year,Job Involvement,Performance Rating,Job Satisfaction,Environment Satisfaction,Work Life Balance Satisfaction,Last Salary Increase (%),Amount of Stock Option,Number of Training Sessions Last Year,Number of Other Companies,Total Active Years,Years at Current Company,Years Since Last Promotion,Years with Current Manager,Attrition
21,45,Male,Single,Medical,Bachelor,,Research & Development,Laboratory Technician,Senior Level,Travel_Frequently,36810,12,High,3,2.0,,3.0,17,Low,2,3.0,22.0,0,0,0,No
22,38,Male,,Life Sciences,College,11,Research & Development,Sales Executive,Entry Level,Travel_Rarely,198450,10,High,3,3.0,4.0,2.0,11,Low,3,7.0,7.0,0,0,0,No
23,30,Male,Single,Technical Degree,Bachelor,7,Research & Development,Research Director,Mid Level,Travel_Rarely,14830,4,High,3,4.0,3.0,2.0,13,None,3,5.0,12.0,0,0,0,No
24,19,Male,Single,Life Sciences,College,10,Research & Development,Healthcare Representative,Mid Level,Travel_Frequently,41870,12,High,4,1.0,3.0,4.0,22,Low,4,0.0,1.0,0,0,0,Yes
25,18,Male,Single,Life Sciences,Bachelor,2,Research & Development,Sales Representative,Senior Level,Non-Travel,186060,14,High,4,3.0,2.0,1.0,24,Medium,4,1.0,0.0,0,0,0,No
26,23,Male,Divorced,Medical,Bachelor,10,Research & Development,Laboratory Technician,Mid Level,Travel_Rarely,64390,20,High,4,1.0,3.0,3.0,22,High,2,3.0,3.0,0,0,0,No
27,37,Male,,Life Sciences,Bachelor,2,Research & Development,Sales Executive,Entry Level,Travel_Rarely,56470,3,High,3,,4.0,,19,None,2,6.0,7.0,0,0,0,Yes
28,18,Male,Single,Life Sciences,Bachelor,7,Sales,Research Scientist,Entry Level,Travel_Rarely,38120,9,High,3,3.0,,3.0,15,None,3,1.0,0.0,0,0,0,No
29,45,Female,Married,Human Resources,Bachelor,14,Human Resources,Sales Executive,Entry Level,Travel_Rarely,54730,13,Low,3,1.0,4.0,4.0,13,None,3,4.0,17.0,0,0,0,No
30,56,Female,Married,Technical Degree,Bachelor,4,Research & Development,Sales Executive,Mid Level,Travel_Rarely,198470,18,High,3,1.0,4.0,3.0,14,None,6,4.0,6.0,0,0,0,No
31,47,Female,,Medical,Bachelor,1,Sales,Laboratory Technician,Mid Level,Travel_Frequently,68340,10,Very High,3,3.0,2.0,3.0,16,Low,2,3.0,5.0,0,0,0,No
32,18,Male,,Technical Degree,Bachelor,2,Research & Development,Sales Executive,Entry Level,Travel_Frequently,34680,4,Very High,3,2.0,2.0,3.0,18,Medium,4,1.0,0.0,0,0,0,Yes
33,18,Male,Single,Medical,Master,,Research & Development,Laboratory Technician,Senior Level,Non-Travel,109650,15,Very High,3,3.0,3.0,3.0,18,None,5,1.0,0.0,0,0,0,Yes
34,32,Female,Single,Medical,Bachelor,,Research & Development,Research Director,Mid Level,Travel_Rarely,88230,20,High,3,2.0,1.0,3.0,13,Medium,3,6.0,10.0,0,0,0,Yes
35,48,Male,Married,Medical,Master,1,Research & Development,Research Scientist,Entry Level,Travel_Rarely,21770,11,High,3,3.0,4.0,2.0,18,None,4,4.0,13.0,0,0,0,No
36,26,Male,Divorced,Medical,Master,9,Research & Development,Healthcare Representative,Senior Level,Travel_Rarely,26930,14,Medium,3,3.0,1.0,3.0,17,High,3,5.0,8.0,0,0,0,No
37,42,Female,Single,Medical,Master,2,Sales,Research Director,Mid Level,Travel_Rarely,45390,7,High,3,3.0,4.0,3.0,17,Low,5,4.0,8.0,0,0,0,No
38,18,Male,,Life Sciences,Bachelor,2,Research & Development,Sales Representative,Senior Level,Non-Travel,186060,21,High,4,3.0,2.0,1.0,24,Medium,4,1.0,0.0,0,0,0,No
39,48,Male,,Medical,Master,1,Research & Development,Research Scientist,Entry Level,Travel_Rarely,21770,16,High,3,3.0,4.0,2.0,18,None,4,4.0,13.0,0,0,0,No
40,18,Male,,Medical,Doctor,3,Research & Development,Research Director,Entry Level,Travel_Frequently,24790,6,Medium,3,4.0,2.0,4.0,12,Low,2,1.0,0.0,0,0,0,Yes
41,48,Male,Married,Medical,Master,1,Research & Development,Research Scientist,Entry Level,Travel_Rarely,21770,10,High,3,3.0,4.0,2.0,18,None,4,4.0,13.0,0,0,0,No
42,33,Male,,Life Sciences,Bachelor,10,Research & Development,Sales Executive,Entry Level,Travel_Rarely,43020,4,Low,3,1.0,1.0,,13,None,3,2.0,11.0,0,0,0,Yes
43,28,Male,Single,Marketing,Bachelor,1,Sales,Laboratory Technician,Mid Level,Travel_Frequently,17060,5,High,3,1.0,3.0,2.0,12,None,3,7.0,8.0,0,0,0,Yes
44,45,Female,Married,Human Resources,Bachelor,14,Human Resources,Sales Executive,Entry Level,Travel_Rarely,54730,20,Low,3,1.0,4.0,4.0,13,None,3,4.0,17.0,0,0,0,No
45,42,Female,Single,Medical,Master,2,Sales,Research Director,Mid Level,Travel_Rarely,45390,8,High,3,3.0,4.0,,17,Low,5,4.0,8.0,0,0,0,No
46,33,Male,Single,Life Sciences,Bachelor,10,Research & Development,Sales Executive,Entry Level,Travel_Rarely,43020,11,Low,3,1.0,1.0,2.0,13,None,3,2.0,11.0,0,0,0,Yes
47,42,Female,Married,Other,Master,7,Research & Development,Laboratory Technician,Mid Level,Travel_Rarely,57140,18,High,3,1.0,2.0,2.0,11,None,2,5.0,10.0,0,0,0,No
48,32,Male,Single,Life Sciences,Master,,Sales,Sales Executive,Manager,Travel_Frequently,43270,19,High,3,4.0,4.0,4.0,13,None,4,8.0,4.0,0,0,0,No
49,34,Female,Married,Marketing,Below College,1,Sales,Research Director,Mid Level,Non-Travel,26960,9,High,4,4.0,3.0,3.0,23,None,3,3.0,6.0,0,0,0,No
50,32,Female,Single,Medical,Bachelor,26,Research & Development,Research Director,Mid Level,Travel_Rarely,88230,5,High,3,2.0,1.0,3.0,13,Medium,3,6.0,10.0,0,0,0,Yes
51,38,Male,Single,Medical,Master,2,Human Resources,Human Resources,Entry Level,Travel_Rarely,20140,16,Very High,3,1.0,3.0,2.0,17,Low,5,3.0,8.0,0,0,0,No
52,33,Female,,Life Sciences,Master,15,Research & Development,Sales Executive,Entry Level,Travel_Rarely,62010,7,Medium,3,3.0,4.0,3.0,15,High,2,2.0,14.0,0,0,0,No
53,42,Female,Married,Other,Master,,Research & Development,Laboratory Technician,Mid Level,Travel_Rarely,57140,8,High,3,1.0,2.0,2.0,11,None,2,5.0,10.0,0,0,0,No
54,23,Male,Divorced,Medical,Bachelor,10,Research & Development,Laboratory Technician,Mid Level,Travel_Rarely,64390,7,High,4,1.0,3.0,3.0,22,High,2,3.0,3.0,0,0,0,No
55,42,Female,Divorced,Life Sciences,Bachelor,1,Sales,Sales Executive,Entry Level,Travel_Rarely,23720,14,High,3,4.0,2.0,3.0,12,Low,3,3.0,14.0,0,0,0,No
56,19,Male,Single,Life Sciences,College,5,Research & Development,Manager,Entry Level,Travel_Rarely,53320,10,High,4,3.0,4.0,2.0,23,Low,2,1.0,0.0,0,0,0,Yes
57,28,Male,,Medical,College,11,Research & Development,Sales Executive,Mid Level,Travel_Rarely,58130,21,High,4,3.0,,1.0,20,Low,2,2.0,5.0,0,0,0,Yes
58,26,Male,Divorced,Medical,Master,9,Research & Development,Healthcare Representative,Senior Level,Travel_Rarely,26930,20,Medium,3,3.0,1.0,3.0,17,High,3,5.0,8.0,0,0,0,No
59,18,Male,Single,Life Sciences,Master,1,Research & Development,Sales Executive,Entry Level,Travel_Rarely,23350,18,Medium,3,3.0,3.0,3.0,14,Medium,3,1.0,0.0,0,0,0,Yes
60,29,Male,Married,Life Sciences,Bachelor,18,Research & Development,Sales Executive,Mid Level,Travel_Rarely,31430,6,High,4,2.0,1.0,3.0,22,High,2,2.0,10.0,0,0,0,No
61,32,Male,Single,Life Sciences,Master,,Sales,Sales Executive,Manager,Travel_Frequently,43270,16,High,3,4.0,4.0,4.0,13,None,4,8.0,4.0,0,0,0,No
62,18,Male,,Medical,Master,1,Research & Development,Sales Executive,Mid Level,Non-Travel,27200,5,High,4,4.0,,4.0,22,Low,2,1.0,0.0,0,0,0,No
63,18,Male,Single,Life Sciences,Master,,Research & Development,Sales Executive,Entry Level,Travel_Rarely,23350,17,Medium,3,3.0,3.0,3.0,14,Medium,3,1.0,0.0,0,0,0,Yes
64,18,Male,Single,Medical,Master,1,Research & Development,Sales Executive,Mid Level,Non-Travel,27200,6,High,4,4.0,4.0,,22,Low,2,1.0,0.0,0,0,0,No
65,23,Female,Married,Medical,Bachelor,2,Sales,Manufacturing Director,Manager,Travel_Rarely,45590,12,Medium,3,1.0,3.0,3.0,18,Low,2,1.0,1.0,0,0,0,Yes
66,19,Male,Single,Life Sciences,College,5,Research & Development,Manager,Entry Level,Travel_Rarely,53320,10,High,4,3.0,4.0,2.0,23,Low,2,1.0,0.0,0,0,0,Yes
67,29,Male,Single,Life Sciences,Doctor,3,Human Resources,Sales Executive,Entry Level,Travel_Rarely,27230,3,Medium,3,1.0,4.0,,11,Low,2,6.0,3.0,0,0,0,Yes
68,34,Female,,Medical,Bachelor,20,Research & Development,Laboratory Technician,Senior Level,Travel_Rarely,57440,17,Medium,3,1.0,2.0,3.0,19,Low,4,3.0,7.0,0,0,0,No
69,21,Male,Single,Life Sciences,Bachelor,2,Sales,Manufacturing Director,Mid Level,Travel_Rarely,137570,21,High,3,4.0,3.0,3.0,12,Low,3,1.0,0.0,0,0,0,No
70,27,Female,,Technical Degree,Bachelor,1,Sales,Sales Executive,Entry Level,Non-Travel,27130,4,High,3,4.0,4.0,2.0,11,None,2,1.0,0.0,0,0,0,No
71,33,Male,,Life Sciences,Bachelor,,Research & Development,Sales Executive,Entry Level,Travel_Rarely,43020,21,Low,3,1.0,1.0,2.0,13,None,3,2.0,11.0,0,0,0,Yes
72,18,Male,,Life Sciences,Bachelor,,Sales,Research Scientist,Entry Level,Travel_Rarely,38120,12,High,3,3.0,4.0,3.0,15,None,3,1.0,0.0,0,0,0,No
73,23,Female,Married,Medical,Bachelor,2,Sales,Manufacturing Director,Manager,Travel_Rarely,45590,5,Medium,3,1.0,,,18,Low,2,1.0,1.0,0,0,0,Yes
74,29,Male,Married,Life Sciences,Bachelor,18,Research & Development,Sales Executive,Mid Level,Travel_Rarely,31430,21,High,4,2.0,1.0,3.0,22,High,2,2.0,10.0,0,0,0,No
75,34,Female,Married,Marketing,Below College,1,Sales,Research Director,Mid Level,Non-Travel,26960,6,High,4,4.0,3.0,3.0,23,None,3,3.0,6.0,0,0,0,No
76,33,Female,Single,Life Sciences,Master,15,Research & Development,Sales Executive,Entry Level,Travel_Rarely,62010,10,Medium,3,3.0,4.0,3.0,15,High,2,2.0,14.0,0,0,0,No
77,45,Male,Single,Medical,Bachelor,,Research & Development,Laboratory Technician,Senior Level,Travel_Frequently,36810,13,High,3,2.0,2.0,3.0,17,Low,2,3.0,22.0,0,0,0,No
78,18,Male,Single,Other,Master,,Sales,Manager,Mid Level,Non-Travel,32300,12,High,3,4.0,2.0,,12,Low,3,1.0,0.0,0,0,0,No
79,27,Female,Married,Technical Degree,Bachelor,,Sales,Sales Executive,Entry Level,Non-Travel,27130,19,High,3,4.0,4.0,2.0,11,None,2,1.0,0.0,0,0,0,No
80,28,Male,Single,Marketing,Bachelor,,Sales,Laboratory Technician,Mid Level,Travel_Frequently,17060,16,High,3,1.0,3.0,2.0,12,None,3,7.0,8.0,0,0,0,Yes
81,24,Male,Single,Life Sciences,Bachelor,3,Sales,Research Scientist,Mid Level,Travel_Frequently,76540,16,Medium,3,1.0,2.0,2.0,17,Low,3,2.0,4.0,0,0,0,Yes
82,50,Male,Single,Medical,Master,1,Research & Development,Research Scientist,Mid Level,Travel_Frequently,159920,14,High,3,3.0,4.0,3.0,14,None,3,3.0,5.0,0,0,0,Yes
83,19,Male,Single,Life Sciences,College,10,Research & Development,Healthcare Representative,Mid Level,Travel_Frequently,41870,20,High,4,1.0,3.0,4.0,22,Low,4,0.0,1.0,0,0,0,Yes
84,34,Female,Divorced,Medical,Bachelor,,Research & Development,Laboratory Technician,Senior Level,Travel_Rarely,57440,11,Medium,3,1.0,2.0,3.0,19,Low,4,3.0,7.0,0,0,0,No
85,42,Female,,Medical,Master,2,Sales,Research Director,Mid Level,Travel_Rarely,45390,16,High,3,3.0,4.0,3.0,17,Low,5,4.0,8.0,0,0,0,No
86,18,Male,Single,Life Sciences,Master,1,Research & Development,Sales Executive,Entry Level,Travel_Rarely,23350,22,Medium,3,3.0,3.0,3.0,14,Medium,3,1.0,0.0,0,0,0,Yes
87,30,Male,Single,Technical Degree,Bachelor,7,Research & Development,Research Director,Mid Level,Travel_Rarely,14830,10,High,3,4.0,3.0,2.0,13,None,3,5.0,12.0,0,0,0,No
88,18,Male,Single,Medical,Master,2,Research & Development,Laboratory Technician,Senior Level,Non-Travel,109650,21,Very High,3,3.0,3.0,3.0,18,None,5,1.0,0.0,0,0,0,Yes
89,26,Male,Divorced,Medical,Master,9,Research & Development,Healthcare Representative,Senior Level,Travel_Rarely,26930,13,Medium,3,3.0,1.0,,17,High,3,5.0,8.0,0,0,0,No
90,18,Male,Single,Medical,Master,2,Research & Development,Laboratory Technician,Senior Level,Non-Travel,109650,8,Very High,3,3.0,3.0,,18,None,5,1.0,0.0,0,0,0,Yes
91,40,Male,Married,Medical,Bachelor,9,Sales,Manufacturing Director,Entry Level,Travel_Frequently,45230,14,Very High,3,2.0,2.0,3.0,16,Low,5,5.0,5.0,0,0,0,No
92,22,Male,Married,Medical,Master,22,Research & Development,Sales Representative,Entry Level,Travel_Frequently,26540,4,Medium,4,4.0,3.0,3.0,24,None,5,0.0,1.0,0,0,0,Yes
93,29,Male,Married,Life Sciences,Bachelor,18,Research & Development,Sales Executive,Mid Level,Travel_Rarely,31430,12,High,4,2.0,1.0,3.0,22,High,2,2.0,10.0,0,0,0,No
94,19,Male,Single,Life Sciences,College,5,Research & Development,Manager,Entry Level,Travel_Rarely,53320,8,High,4,3.0,,2.0,23,Low,2,1.0,0.0,0,0,0,Yes
95,56,Female,Married,Technical Degree,Bachelor,4,Research & Development,Sales Executive,Mid Level,Travel_Rarely,198470,17,High,3,1.0,4.0,,14,None,6,4.0,6.0,0,0,0,No
96,47,Female,Single,Medical,Bachelor,,Sales,Laboratory Technician,Mid Level,Travel_Frequently,68340,9,Very High,3,3.0,2.0,3.0,16,Low,2,3.0,5.0,0,0,0,No
97,32,Male,Single,Life Sciences,Master,9,Sales,Sales Executive,Manager,Travel_Frequently,43270,20,High,3,4.0,4.0,4.0,13,None,4,8.0,4.0,0,0,0,No
98,40,Male,Married,Medical,Bachelor,,Sales,Manufacturing Director,Entry Level,Travel_Frequently,45230,5,Very High,3,2.0,2.0,3.0,16,Low,5,5.0,5.0,0,0,0,No
99,32,Female,Single,Medical,Bachelor,26,Research & Development,Research Director,Mid Level,Travel_Rarely,88230,7,High,3,2.0,1.0,3.0,13,Medium,3,6.0,10.0,0,0,0,Yes
100,44,Male,Single,Life Sciences,Bachelor,20,Research & Development,Sales Representative,Entry Level,Non-Travel,45560,17,High,3,3.0,4.0,3.0,13,None,4,2.0,6.0,0,0,0,No
101,29,Male,,Life Sciences,Doctor,3,Human Resources,Sales Executive,Entry Level,Travel_Rarely,27230,13,Medium,3,1.0,4.0,3.0,11,Low,2,6.0,3.0,0,0,0,Yes
102,37,Male,Single,Life Sciences,Bachelor,2,Research & Development,Sales Executive,Entry Level,Travel_Rarely,56470,12,High,3,3.0,4.0,3.0,19,None,2,6.0,7.0,0,0,0,Yes
103,50,Male,Single,Medical,Master,1,Research & Development,Research Scientist,Mid Level,Travel_Frequently,159920,15,High,3,3.0,4.0,3.0,14,None,3,3.0,5.0,0,0,0,Yes
104,28,Male,Single,Medical,College,11,Research & Development,Sales Executive,Mid Level,Travel_Rarely,58130,17,High,4,3.0,1.0,1.0,20,Low,2,2.0,5.0,0,0,0,Yes
105,38,Male,Married,Life Sciences,College,11,Research & Development,Sales Executive,Entry Level,Travel_Rarely,198450,7,High,3,3.0,4.0,2.0,11,Low,3,7.0,7.0,0,0,0,No
106,29,Female,Married,Marketing,Master,,Sales,Research Scientist,Manager,Travel_Rarely,106500,1,Very High,3,1.0,2.0,3.0,13,Medium,2,1.0,1.0,1,0,0,Yes
107,42,Female,Single,Life Sciences,College,21,Sales,Healthcare Representative,Entry Level,Travel_Rarely,22010,22,Very High,3,4.0,2.0,3.0,12,Low,3,4.0,16.0,1,0,0,No
108,43,Male,,Other,Master,,Research & Development,Sales Executive,Senior Level,Travel_Frequently,76550,11,High,3,3.0,3.0,3.0,12,Low,3,9.0,6.0,1,0,0,Yes
109,38,Female,Single,Medical,Bachelor,1,Research & Development,Manager,Senior Level,Travel_Rarely,96190,9,High,3,3.0,3.0,4.0,13,Low,2,4.0,10.0,1,0,0,No
110,38,Male,Married,Marketing,College,8,Sales,Research Scientist,Executive,Travel_Rarely,49300,23,High,3,3.0,4.0,3.0,14,None,0,9.0,14.0,1,0,0,No
111,37,Male,Single,Marketing,Below College,9,Sales,Sales Executive,Senior Level,Travel_Rarely,44400,6,Medium,3,2.0,3.0,2.0,11,Low,3,2.0,18.0,1,0,1,No
112,30,Male,Single,Marketing,College,,Sales,Research Scientist,Senior Level,Travel_Frequently,11290,12,Medium,3,4.0,3.0,3.0,19,None,2,9.0,3.0,1,0,0,Yes
113,44,Female,Married,Life Sciences,Bachelor,5,Research & Development,Manufacturing Director,Executive,Travel_Frequently,43820,17,High,3,3.0,1.0,2.0,16,Medium,2,7.0,11.0,1,0,0,No
114,42,Male,Married,Other,Master,23,Research & Development,Research Scientist,Entry Level,Travel_Rarely,23730,21,Very High,3,3.0,4.0,,14,Low,3,6.0,21.0,1,0,0,No
115,42,Male,Single,Life Sciences,Master,3,Research & Development,Manager,Entry Level,Travel_Rarely,10910,19,Low,4,4.0,1.0,3.0,22,None,0,2.0,16.0,1,0,0,No
116,35,Male,,Medical,Below College,10,Research & Development,Research Scientist,Entry Level,Travel_Rarely,57650,8,High,3,4.0,3.0,3.0,14,Low,2,1.0,1.0,1,0,0,No
117,29,Male,,Medical,College,1,Research & Development,Sales Executive,Senior Level,Travel_Rarely,26780,10,High,4,2.0,4.0,3.0,25,Low,3,1.0,1.0,1,0,0,No
118,36,Female,Married,Technical Degree,Bachelor,2,Sales,Laboratory Technician,Executive,Travel_Rarely,22900,8,High,3,2.0,4.0,3.0,11,None,5,4.0,15.0,1,0,0,No
119,38,Male,,Medical,Master,7,Research & Development,Sales Executive,Entry Level,Travel_Rarely,66530,15,High,4,,4.0,3.0,20,Low,2,7.0,10.0,1,0,0,No
120,35,Female,Single,Life Sciences,Bachelor,29,Research & Development,Sales Executive,Senior Level,Travel_Rarely,50030,8,High,3,2.0,3.0,3.0,15,None,2,9.0,10.0,1,0,0,No
121,21,Male,Single,Life Sciences,Master,1,Research & Development,Manager,Entry Level,Travel_Rarely,57750,16,High,3,1.0,3.0,2.0,18,None,2,1.0,1.0,1,1,0,Yes
122,30,Male,,Medical,Master,11,Research & Development,Laboratory Technician,Mid Level,Travel_Rarely,171690,8,High,3,3.0,4.0,3.0,17,Medium,2,1.0,1.0,1,0,0,No
123,20,Female,Single,Life Sciences,Master,4,Sales,Healthcare Representative,Mid Level,Travel_Frequently,99240,8,High,4,4.0,4.0,3.0,22,None,3,1.0,1.0,1,1,0,Yes
124,40,Female,Married,Life Sciences,College,6,Sales,Laboratory Technician,Entry Level,Travel_Rarely,26470,15,Medium,3,3.0,2.0,3.0,13,None,2,6.0,20.0,1,0,0,No
125,30,Male,,Life Sciences,Bachelor,8,Research & Development,Manufacturing Director,Entry Level,Non-Travel,21430,19,High,3,3.0,3.0,2.0,17,Low,2,1.0,1.0,1,0,0,No
126,32,Female,Divorced,Other,College,11,Research & Development,Research Scientist,Mid Level,Non-Travel,44870,9,Medium,3,1.0,3.0,3.0,11,None,5,1.0,1.0,1,0,0,No
127,42,Male,Married,Medical,College,8,Human Resources,Sales Executive,Entry Level,Travel_Frequently,106480,17,High,3,1.0,1.0,3.0,13,Low,1,3.0,20.0,1,0,0,No
128,20,Male,Single,Life Sciences,Bachelor,,Research & Development,Sales Representative,Executive,Travel_Rarely,61620,8,Medium,3,3.0,4.0,3.0,12,High,2,1.0,1.0,1,1,1,Yes
129,32,Female,Single,Human Resources,College,12,Human Resources,Sales Representative,Entry Level,Travel_Rarely,20610,15,Medium,3,,4.0,3.0,15,Low,2,1.0,1.0,1,0,0,No
130,24,Female,,Life Sciences,Bachelor,10,Research & Development,Manager,Mid Level,Non-Travel,51600,7,Low,3,2.0,4.0,3.0,17,Low,3,1.0,1.0,1,0,0,No
131,33,Male,Divorced,Life Sciences,Bachelor,,Research & Development,Research Scientist,Mid Level,Non-Travel,140260,9,High,3,3.0,2.0,2.0,12,None,4,1.0,1.0,1,0,0,No
132,19,Male,Single,Marketing,Master,2,Sales,Laboratory Technician,Senior Level,Travel_Rarely,115570,16,High,4,4.0,2.0,3.0,22,None,0,1.0,1.0,1,0,1,No
133,38,Female,Married,Life Sciences,Master,6,Sales,Research Scientist,Senior Level,Travel_Rarely,107480,20,High,3,1.0,2.0,3.0,15,None,3,7.0,17.0,1,0,0,Yes
134,45,Male,Single,Life Sciences,Master,10,Research & Development,Research Director,Entry Level,Travel_Rarely,56050,8,High,3,3.0,2.0,3.0,12,Medium,2,1.0,1.0,1,0,0,No
135,20,Male,Single,Life Sciences,Bachelor,1,Research & Development,Sales Representative,Executive,Travel_Rarely,61620,11,Medium,3,3.0,4.0,3.0,12,High,2,1.0,1.0,1,1,1,Yes
136,26,Male,Single,Marketing,Bachelor,4,Sales,Manager,Mid Level,Travel_Rarely,24040,18,High,3,3.0,1.0,2.0,12,None,6,1.0,1.0,1,0,1,Yes
137,20,Female,Single,Medical,Master,17,Research & Development,Sales Representative,Entry Level,Travel_Rarely,22930,7,Low,3,2.0,4.0,,13,Medium,3,1.0,1.0,1,0,0,No
138,42,Female,Single,Life Sciences,College,8,Research & Development,Manager,Executive,Travel_Rarely,40140,22,High,3,4.0,4.0,3.0,13,Low,3,8.0,24.0,1,0,1,No
139,29,Female,Single,Medical,College,1,Research & Development,Sales Executive,Entry Level,Travel_Rarely,106730,24,High,3,3.0,3.0,3.0,13,High,2,1.0,1.0,1,0,0,No
140,46,Female,Married,Marketing,Master,2,Sales,Laboratory Technician,Mid Level,Non-Travel,30650,10,High,3,3.0,,4.0,11,None,3,2.0,7.0,1,0,0,No
141,31,Female,Married,Medical,College,22,Research & Development,Sales Executive,Mid Level,Travel_Frequently,56890,21,Medium,3,3.0,1.0,3.0,15,Medium,2,3.0,12.0,1,0,0,Yes
142,31,Male,Married,Human Resources,Master,9,Human Resources,Laboratory Technician,Mid Level,Travel_Rarely,168850,18,High,3,3.0,1.0,3.0,14,Medium,2,2.0,10.0,1,0,0,Yes
143,37,Male,Single,Life Sciences,Bachelor,16,Research & Development,Manager,Senior Level,Travel_Rarely,33880,20,Very High,3,4.0,4.0,3.0,11,None,2,3.0,4.0,1,0,0,No
144,39,Male,Single,Medical,Master,2,Research & Development,Manufacturing Director,Mid Level,Non-Travel,43810,9,Medium,3,1.0,1.0,4.0,15,Medium,1,2.0,11.0,1,0,0,Yes
145,31,Male,Single,Life Sciences,Bachelor,,Sales,Manager,Mid Level,Travel_Frequently,30570,9,High,3,3.0,2.0,3.0,19,None,3,1.0,1.0,1,0,0,Yes
146,29,Female,Single,Medical,College,1,Research & Development,Sales Executive,Entry Level,Travel_Rarely,106730,8,High,3,3.0,,3.0,13,High,2,1.0,1.0,1,0,0,No
